id,grid_row,grid_col,orig_x,orig_y,sheet_x,sheet_y,edge_top,edge_right,edge_bottom,edge_left,block_height,block_width,sprite_width,sprite_height
29,6,7,1792,972,2898,536,TAB,TAB,SLOT,SLOT,170,256,288,219
30,5,5,1248,802,0,804,TAB,TAB,TAB,TAB,170,256,320,266
31,1,7,1760,170,322,804,SLOT,SLOT,TAB,TAB,170,256,289,218
32,3,9,2272,510,644,804,SLOT,FLAT,TAB,TAB,170,256,289,218
33,4,8,2016,680,966,804,SLOT,TAB,TAB,TAB,170,256,320,218
34,8,2,512,1360,1288,804,SLOT,SLOT,TAB,SLOT,170,256,257,218
35,7,6,1504,1190,1610,804,SLOT,TAB,SLOT,TAB,170,256,320,171
36,0,7,1760,0,1932,804,FLAT,TAB,TAB,TAB,170,256,320,218
37,4,2,512,680,2254,804,SLOT,SLOT,TAB,SLOT,170,256,257,218
38,5,9,2272,802,2576,804,TAB,FLAT,SLOT,TAB,170,256,289,219
39,4,0,0,632,2898,804,TAB,TAB,TAB,FLAT,170,256,288,266
40,9,4,992,1482,0,1072,TAB,TAB,FLAT,TAB,170,256,320,219
41,8,5,1248,1360,322,1072,SLOT,TAB,TAB,TAB,170,256,320,218
42,2,8,2048,340,644,1072,SLOT,TAB,TAB,SLOT,170,256,288,218
43,5,2,480,850,966,1072,SLOT,SLOT,SLOT,TAB,170,256,289,171
44,6,5,1280,1020,1288,1072,SLOT,TAB,TAB,SLOT,170,256,288,218
45,1,5,1280,170,1610,1072,SLOT,TAB,TAB,SLOT,170,256,288,218
46,5,7,1792,802,1932,1072,TAB,TAB,SLOT,SLOT,170,256,288,219
47,1,2,512,170,2254,1072,SLOT,TAB,TAB,SLOT,170,256,288,218
48,0,5,1248,0,2576,1072,FLAT,SLOT,TAB,TAB,170,256,289,218
49,8,7,1792,1360,2898,1072,SLOT,TAB,TAB,SLOT,170,256,288,218
50,8,0,0,1312,0,1340,TAB,TAB,TAB,FLAT,170,256,288,266
51,3,2,480,462,322,1340,TAB,SLOT,TAB,TAB,170,256,289,266
52,9,9,2272,1482,644,1340,TAB,FLAT,FLAT,TAB,170,256,289,219
53,8,6,1536,1312,966,1340,TAB,TAB,TAB,SLOT,170,256,288,266
54,1,3,768,170,1288,1340,SLOT,TAB,SLOT,SLOT,170,256,288,171
55,0,4,992,0,1610,1340,FLAT,SLOT,TAB,TAB,170,256,289,218
56,2,5,1248,340,1932,1340,SLOT,SLOT,SLOT,TAB,170,256,289,171
57,6,3,736,972,2254,1340,TAB,SLOT,TAB,TAB,170,256,289,266
58,6,9,2304,972,2576,1340,TAB,FLAT,SLOT,SLOT,170,256,257,219
59,3,8,2048,510,2898,1340,SLOT,SLOT,TAB,SLOT,170,256,257,218
60,5,8,2048,850,0,1608,SLOT,SLOT,SLOT,SLOT,170,256,257,171
61,9,7,1792,1530,322,1608,SLOT,SLOT,FLAT,SLOT,170,256,257,171
62,3,0,0,462,644,1608,TAB,TAB,SLOT,FLAT,170,256,288,219
63,5,3,736,850,966,1608,SLOT,SLOT,SLOT,TAB,170,256,289,171
64,0,1,256,0,1288,1608,FLAT,TAB,TAB,SLOT,170,256,288,218
65,1,6,1536,170,1610,1608,SLOT,SLOT,TAB,SLOT,170,256,257,218
66,9,1,224,1482,1932,1608,TAB,SLOT,FLAT,TAB,170,256,289,219
67,9,2,480,1530,2254,1608,SLOT,TAB,FLAT,TAB,170,256,320,171
68,6,8,2048,972,2576,1608,TAB,TAB,SLOT,SLOT,170,256,288,219
69,7,5,1248,1190,2898,1608,SLOT,SLOT,TAB,TAB,170,256,289,218
70,7,4,992,1190,0,1876,SLOT,SLOT,SLOT,TAB,170,256,289,171
71,7,9,2304,1142,322,1876,TAB,FLAT,TAB,SLOT,170,256,257,266
72,5,6,1536,850,644,1876,SLOT,TAB,SLOT,SLOT,170,256,288,171
73,0,0,0,0,966,1876,FLAT,TAB,TAB,FLAT,170,256,288,218
74,5,4,992,802,1288,1876,TAB,SLOT,SLOT,TAB,170,256,289,219
75,6,1,224,972,1610,1876,TAB,SLOT,SLOT,TAB,170,256,289,219
76,6,2,480,972,1932,1876,TAB,SLOT,SLOT,TAB,170,256,289,219
77,0,3,768,0,2254,1876,FLAT,SLOT,TAB,SLOT,170,256,257,218
78,4,7,1760,632,2576,1876,TAB,SLOT,SLOT,TAB,170,256,289,219
79,4,4,1024,680,2898,1876,SLOT,TAB,SLOT,SLOT,170,256,288,171
80,0,8,2048,0,0,2144,FLAT,TAB,TAB,SLOT,170,256,288,218
81,7,7,1792,1142,322,2144,TAB,TAB,TAB,SLOT,170,256,288,266
82,1,9,2304,122,644,2144,TAB,FLAT,SLOT,SLOT,170,256,257,219
83,2,4,992,340,966,2144,SLOT,SLOT,SLOT,TAB,170,256,289,171
84,2,9,2304,292,1288,2144,TAB,FLAT,TAB,SLOT,170,256,257,266
85,3,1,256,510,1610,2144,SLOT,SLOT,TAB,SLOT,170,256,257,218
86,6,6,1536,972,1932,2144,TAB,TAB,TAB,SLOT,170,256,288,266
87,9,0,0,1530,2254,2144,SLOT,SLOT,FLAT,FLAT,170,256,257,171
88,2,7,1760,340,2576,2144,SLOT,TAB,TAB,TAB,170,256,320,218
89,3,3,736,510,2898,2144,SLOT,SLOT,TAB,TAB,170,256,289,218
90,7,3,768,1190,0,2412,SLOT,SLOT,TAB,SLOT,170,256,257,218
91,3,5,1248,462,322,2412,TAB,TAB,SLOT,TAB,170,256,320,219
92,9,5,1280,1530,644,2412,SLOT,SLOT,FLAT,SLOT,170,256,257,171
93,6,4,992,972,966,2412,TAB,TAB,TAB,TAB,170,256,320,266
94,0,2,512,0,1288,2412,FLAT,TAB,TAB,SLOT,170,256,288,218
95,1,8,2016,170,1610,2412,SLOT,TAB,TAB,TAB,170,256,320,218
96,0,6,1504,0,1932,2412,FLAT,SLOT,TAB,TAB,170,256,289,218
97,8,4,992,1312,2254,2412,TAB,SLOT,SLOT,TAB,170,256,289,219
98,7,2,512,1142,2576,2412,TAB,TAB,TAB,SLOT,170,256,288,266
99,1,1,256,170,2898,2412,SLOT,TAB,SLOT,SLOT,170,256,288,171
